gene,sector,Product,function,functional class,general class,location,envelope_function,COG_functionname,COG_function,COG-id,cAMP,manual1,manual2,COG_functionname_curated
aaeA,ra-sector,aromatic carboxylic acid efflux pump membrane fusion protein,,,,IM,transporter,Defense mechanisms,V,COG1566,no,,,Defense mechanisms
aaeB,rca-sector,aromatic carboxylic acid efflux pump subunit AaeB,,,,IM,transporter,Function unknown,S,COG1289,no,,,Function unknown
aaeR,ra-sector,LysR-type transcriptional regulator AaeR,,,,CP,,Transcription,K,COG0583,no,,,Transcription
aaeX,s-sector,DUF1656 domain-containing protein AaeX,,,,IM,membrane protein,notdefined,notdefined,,no,,,notdefined
aas,a-sector,fused 2-acylglycerophospho-ethanolamine acyltransferase/acyl-acyl carrier protein synthetase,,,,IM,other,Lipid transport and metabolism,I,COG0204,no,,,Lipid transport and metabolism
aat,ra-sector,leucyl/phenylalanyl-tRNA&mdash;protein transferase,,,,CP,,"Posttranslational modification, protein turnover, chaperones",O,COG2360,no,,,"Posttranslational modification, protein turnover, chaperones"
abgA,rca-sector,<i>p</i>-aminobenzoyl-glutamate hydrolase subunit A,,,,CP,,General function prediction only,R,COG1473,no,,,General function prediction only
abgB,rca-sector,<i>p</i>-aminobenzoyl-glutamate hydrolase subunit B,,,,CP,,General function prediction only,R,COG1473,no,,,General function prediction only
abgR,s-sector,putative LysR-type DNA-binding transcriptional regulator AbgR,,,,CP,,Transcription,K,COG0583,no,,,Transcription
abgT,rca-sector,<i>p</i>-aminobenzoyl glutamate:H<sup>+</sup> symporter,,,,IM,transporter,Coenzyme transport and metabolism,H,COG2978,no,,,Coenzyme transport and metabolism
abpA,a-sector,CP4-57 prophage; anti-bacteriophage protein,,,,CP,,notdefined,notdefined,,no,,,notdefined
abpB,s-sector,CP4-57 prophage; putative helicase YfjK,,,,CP,,"Replication, recombination and repair",L,COG1204,no,,,"Replication, recombination and repair"
abrB,a-sector,putative regulator,,,,IM,other,General function prediction only,R,COG3180,no,,,General function prediction only
accA,a-sector,acetyl-CoA carboxyltransferase subunit &alpha;,,,,CP,,Lipid transport and metabolism,I,COG0825,no,,,Lipid transport and metabolism
