organism,growth_rate_hr,protein_mass_fg,rna_mass_fg,elongation_rate_aa_sec,RNA_protein_ratio,ribosomal_mass_fraction
Escherichia coli,0.42,100,20,12,0.2,0.09116
Escherichia coli,0.69,156,39,16,0.25,0.11395
Escherichia coli,1.04,234,77,18,0.329059829059829,0.14998547008547
Escherichia coli,1.39,340,132,20,0.388235294117647,0.176957647058824
Escherichia coli,1.73,450,211,21,0.468888888888889,0.213719555555556
Streptomyces coelicolor,0.024,144,30.9,0.59,0.214583333333333,0.0978070833333332
Streptomyces coelicolor,0.048,143,33.2,1.10,0.232167832167832,0.105822097902098
Streptomyces coelicolor,0.109,159,64.5,1.43,0.405660377358491,0.1849
Streptomyces coelicolor,0.148,181,72.0,1.98,0.397790055248619,0.181312707182321
Streptomyces coelicolor,0.194,175,73.8,2.45,0.421714285714286,0.192217371428572
Streptomyces coelicolor,0.240,166,77.3,2.75,0.46566265060241,0.212249036144578
Streptomyces coelicolor,0.300,170,85.7,3.17,0.504117647058824,0.229776823529412
