exp_type,experiment,frac_gene,gene,trial,growth_rate_hr
A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,rplA,1.0,0.967182112409226
A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,rplB,1.0,0.967182112409226
A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,rplC,1.0,0.967182112409226
A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,rplD,1.0,0.967182112409226
A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,rplE,1.0,0.967182112409226
A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,rplF,1.0,0.967182112409226
A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,rplI,1.0,0.967182112409226
A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,rplJ,1.0,0.967182112409226
A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,rplK,1.0,0.967182112409226
A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,rplL,1.0,0.967182112409226
A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,rplM,1.0,0.967182112409226
A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,rplN,1.0,0.967182112409226
A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,rplO,1.0,0.967182112409226
A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,rplP,1.0,0.967182112409226
A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,rplQ,1.0,0.967182112409226
A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,rplR,1.0,0.967182112409226
A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,rplS,1.0,0.967182112409226
A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,rplT,1.0,0.967182112409226
A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,rplU,1.0,0.967182112409226
A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,rplV,1.0,0.967182112409226
A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,rplW,1.0,0.967182112409226
A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,rplX,1.0,0.967182112409226
A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,rplY,1.0,0.967182112409226
A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,rpmA,1.0,0.967182112409226
A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,rpmB,1.0,0.967182112409226
A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,rpmC,1.0,0.967182112409226
A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,rpmD,1.0,0.967182112409226
A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,rpmE,1.0,0.967182112409226
A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,rpmE2,1.0,0.967182112409226
A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,rpmF,1.0,0.967182112409226
A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,rpmG,1.0,0.967182112409226
A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,rpmH,1.0,0.967182112409226
A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,rpmI,1.0,0.967182112409226
A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,rpsA,1.0,0.967182112409226
A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,rpsB,1.0,0.967182112409226
A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,rpsC,1.0,0.967182112409226
A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,rpsD,1.0,0.967182112409226
A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,rpsE,1.0,0.967182112409226
A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,rpsF,1.0,0.967182112409226
A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,rpsG,1.0,0.967182112409226
A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,rpsH,1.0,0.967182112409226
A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,rpsI,1.0,0.967182112409226
A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,rpsJ,1.0,0.967182112409226
A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,rpsK,1.0,0.967182112409226
A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,rpsL,1.0,0.967182112409226
A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,rpsM,1.0,0.967182112409226
A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,rpsN,1.0,0.967182112409226
A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,rpsO,1.0,0.967182112409226
A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,rpsP,1.0,0.967182112409226
A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,rpsQ,1.0,0.967182112409226
A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,rpsR,1.0,0.967182112409226
A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,rpsS,1.0,0.967182112409226
A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,rpsT,1.0,0.967182112409226
A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,rpsU,1.0,0.967182112409226
A-lim,NCM3722_Glc_IPTG0,0.0009505703422053230,rplA,2.0,0.967182112409226
A-lim,NCM3722_Glc_IPTG0,0.0009505703422053230,rplB,2.0,0.967182112409226
A-lim,NCM3722_Glc_IPTG0,0.0009505703422053230,rplC,2.0,0.967182112409226
A-lim,NCM3722_Glc_IPTG0,0.0009505703422053230,rplD,2.0,0.967182112409226
A-lim,NCM3722_Glc_IPTG0,0.0009505703422053230,rplE,2.0,0.967182112409226
A-lim,NCM3722_Glc_IPTG0,0.0009505703422053230,rplF,2.0,0.967182112409226
A-lim,NCM3722_Glc_IPTG0,0.0009505703422053230,rplI,2.0,0.967182112409226
A-lim,NCM3722_Glc_IPTG0,0.0009505703422053230,rplJ,2.0,0.967182112409226
A-lim,NCM3722_Glc_IPTG0,0.0009505703422053230,rplK,2.0,0.967182112409226
A-lim,NCM3722_Glc_IPTG0,0.0009505703422053230,rplL,2.0,0.967182112409226
