medium,growth_rate_hr,RNA_protein_ratio,chloramphenicol_conc_uM
M63 + glycerol,0.4,0.177,0
M63 + glycerol,0.33,0.291,2
M63 + glycerol,0.24,0.375,4
M63 + glycerol,0.19,0.414,8
M63 + glycerol,0.12,0.631,12
M63 + glucose,0.57,0.23,0
M63 + glucose,0.5,0.303,2
M63 + glucose,0.39,0.371,4
M63 + glucose,0.3,0.4,8
M63 + glucose,0.23,0.496,12
cAA + glycerol,0.771,0.224,0
cAA + glycerol,0.57,0.313,2
cAA + glycerol,0.38,0.435,4
cAA + glycerol,0.23,0.473,8
cAA + glycerol,0.14,0.524,12
cAA + glucose,1,0.287,0
cAA + glucose,0.87,0.34,2
cAA + glucose,0.67,0.374,4
cAA + glucose,0.43,0.471,8
cAA + glucose,0.28,0.577,12
