growth_rate_hr,relative_ppGpp,source,notes
0.119,2.878,"Wu et al., 2021",Data digitized from red squares in Fig. S12 A
0.327,2.149,"Wu et al., 2021",Data digitized from red squares in Fig. S12 A
0.338,1.730,"Wu et al., 2021",Data digitized from red squares in Fig. S12 A
0.367,1.635,"Wu et al., 2021",Data digitized from red squares in Fig. S12 A
0.356,1.892,"Wu et al., 2021",Data digitized from red squares in Fig. S12 A
0.431,1.878,"Wu et al., 2021",Data digitized from red squares in Fig. S12 A
0.653,1.311,"Wu et al., 2021",Data digitized from red squares in Fig. S12 A
0.683,1.122,"Wu et al., 2021",Data digitized from red squares in Fig. S12 A
0.960,1.027,"Wu et al., 2021",Data digitized from red squares in Fig. S12 A
0.318,1.620,"Hernandez & Bremer, 1990","Data digitized from Figure 3. Relative concentration computed to measurement from condition with a growth rate of 0.9, closest to that used in Wu et al., 2021"
0.458,1.604,"Hernandez & Bremer, 1990","Data digitized from Figure 3. Relative concentration computed to measurement from condition with a growth rate of 0.9, closest to that used in Wu et al., 2021"
0.598,1.223,"Hernandez & Bremer, 1990","Data digitized from Figure 3. Relative concentration computed to measurement from condition with a growth rate of 0.9, closest to that used in Wu et al., 2021"
0.726,1.131,"Hernandez & Bremer, 1990","Data digitized from Figure 3. Relative concentration computed to measurement from condition with a growth rate of 0.9, closest to that used in Wu et al., 2021"
0.901,1.000,"Hernandez & Bremer, 1990","Data digitized from Figure 3. Relative concentration computed to measurement from condition with a growth rate of 0.9, closest to that used in Wu et al., 2021"
0.739,0.743,"Hernandez & Bremer, 1990","Data digitized from Figure 3. Relative concentration computed to measurement from condition with a growth rate of 0.9, closest to that used in Wu et al., 2021"
1.294,0.315,"Hernandez & Bremer, 1990","Data digitized from Figure 3. Relative concentration computed to measurement from condition with a growth rate of 0.9, closest to that used in Wu et al., 2021"
1.340,0.357,"Hernandez & Bremer, 1990","Data digitized from Figure 3. Relative concentration computed to measurement from condition with a growth rate of 0.9, closest to that used in Wu et al., 2021"
1.479,0.392,"Hernandez & Bremer, 1990","Data digitized from Figure 3. Relative concentration computed to measurement from condition with a growth rate of 0.9, closest to that used in Wu et al., 2021"
0.774,0.340,"Büke et al., 2022","Data digitized from panels B and E of Figure 1. Panel B was used to determine ppGpp concentration for each inducer level and panel E was used to infer the mean (center line in box) growth rate. Relative value was calculated from Doxycycline 0 sample, which had growth rate closest to that in Wu et al., 2021"
0.915,0.771297727568224,"Büke et al., 2022","Data digitized from panels B and E of Figure 1. Panel B was used to determine ppGpp concentration for each inducer level and panel E was used to infer the mean (center line in box) growth rate. Relative value was calculated from Doxycycline 0 sample, which had growth rate closest to that in Wu et al., 2021"
0.982,1,"Büke et al., 2022","Data digitized from panels B and E of Figure 1. Panel B was used to determine ppGpp concentration for each inducer level and panel E was used to infer the mean (center line in box) growth rate. Relative value was calculated from Doxycycline 0 sample, which had growth rate closest to that in Wu et al., 2021"
0.491,4.8517646378989,"Büke et al., 2022","Data digitized from panels B and E of Figure 1. Panel B was used to determine ppGpp concentration for each inducer level and panel E was used to infer the mean (center line in box) growth rate. Relative value was calculated from Doxycycline 0 sample, which had growth rate closest to that in Wu et al., 2021"
0.149,7.74192802762168,"Büke et al., 2022","Data digitized from panels B and E of Figure 1. Panel B was used to determine ppGpp concentration for each inducer level and panel E was used to infer the mean (center line in box) growth rate. Relative value was calculated from Doxycycline 0 sample, which had growth rate closest to that in Wu et al., 2021"
0.767,1.000,"Sarubbi et al., 1988","Digitized from Fig. 1. Relative values computed to the 0.767 growth rate condition, which is closest to that of Wu et al. 2021"
0.749,1.231,"Sarubbi et al., 1988","Digitized from Fig. 1. Relative values computed to the 0.767 growth rate condition, which is closest to that of Wu et al. 2021"
0.641,3.129,"Sarubbi et al., 1988","Digitized from Fig. 1. Relative values computed to the 0.767 growth rate condition, which is closest to that of Wu et al. 2021"
0.489,5.875,"Sarubbi et al., 1988","Digitized from Fig. 1. Relative values computed to the 0.767 growth rate condition, which is closest to that of Wu et al. 2021"
0.355,7.541,"Sarubbi et al., 1988","Digitized from Fig. 1. Relative values computed to the 0.767 growth rate condition, which is closest to that of Wu et al. 2021"
0.201,10.080,"Sarubbi et al., 1988","Digitized from Fig. 1. Relative values computed to the 0.767 growth rate condition, which is closest to that of Wu et al. 2021"
0.295,1.783,"Lazzarini et al., 1971","Digitized from Fig. 1 A In Imholz et al., 2020. Relative value calculated to the 1.091 condition, which is closest to that of Wu et al. 2021"
0.682,1.145,"Lazzarini et al., 1971","Digitized from Fig. 1 A In Imholz et al., 2020. Relative value calculated to the 1.091 condition, which is closest to that of Wu et al. 2021"
